best,average,worst
0.5,0.49722468847143353,0.5
0.5,0.49337710336514623,0.5
0.5,0.4922019102284094,0.5
0.5,0.49553261649907254,0.5
0.5,0.4939850116163604,0.5
0.5,0.4960799999999999,0.5
0.5,0.4951598087125005,0.5
0.5,0.4989553818150409,0.5
0.5,0.5,0.5
0.5,0.4963301308430238,0.5
0.5,0.49606831329489787,0.5
0.5,0.4901999999999998,0.5
0.5,0.49518500909881985,0.5
0.5,0.4960626368403772,0.5
0.14942258386512938,0.15071848633086588,0.14942258386512938
0.01,0.013919999999999877,0.01
0.01,0.013964464101844088,0.01
0.01,0.01362168921609633,0.5
0.01,0.01589985047637331,0.5
0.5,0.49804,0.5
0.01,0.012756546720113398,0.01
0.01,0.011959999999999877,0.01
0.01,0.011989935107163124,0.01
0.01,0.012873076448201935,0.01
0.01,0.014723397191372771,0.01
0.01,0.012320080102996492,0.01
0.01,0.0126553087278968,0.01
0.5,0.49705999999999995,0.5
0.5,0.49802554871468646,0.5
0.5,0.4942725632395616,0.5
0.01,0.0142303263223392,0.01
0.01,0.013658693013177311,0.01
0.01,0.013907401114562517,0.01
0.01,0.013466655195904537,0.01
0.01,0.013788654315355602,0.01
0.01,0.014850466259213432,0.01
0.01,0.01286282336834199,0.01
0.01,0.01209182123445526,0.01
0.01,0.01628083542008366,0.01
0.01,0.017198028774265427,0.01
0.01,0.014385630225421516,0.01
0.01,0.015901285272157742,0.01
0.01,0.013869214071780033,0.01
0.01,0.014899999999999879,0.01
0.01,0.011959999999999877,0.01
0.01,0.014420061684925932,0.01
0.01,0.009999999999999875,0.01
0.01,0.013445457270835815,0.01
0.01,0.01885158795851045,0.01
0.01,0.012191576126041053,0.01
0.01,0.013919999999999877,0.01
0.01,0.01539901964600481,0.01
0.01,0.011959999999999877,0.01
0.01,0.01529212019173513,0.01
0.01,0.012939999999999877,0.01
0.01,0.015407061637501194,0.01
0.5,0.49746208343076137,0.5
0.4135665532918406,0.4100484840223921,0.4135665532918406
0.49387928713641294,0.4889159956138213,0.49387928713641294
0.5,0.49223007566062643,0.5
0.5,0.49510000000000004,0.5
0.5,0.4968360806380384,0.5
0.24054280257643412,0.24227303213005574,0.24054280257643412
0.01,0.011924859997375106,0.01
0.01,0.014176518757752247,0.01
0.01,0.015587684461290573,0.01
0.01,0.016770379914218876,0.01
0.01,0.014009236354295648,0.01
0.5,0.4960799999999999,0.5
0.5,0.49773053565314984,0.5
0.01,0.011558297368688585,0.01
0.01,0.016661662402159255,0.01
0.01,0.011873053767246549,0.01
0.5,0.49626217401368716,0.5
0.5,0.49690790166087806,0.5
0.5,0.49705999999999995,0.5
0.5,0.49598304062689696,0.5
0.5,0.4943316352836368,0.5
0.5,0.49440920682591055,0.5
0.5,0.49804000000000004,0.5
0.5,0.49293137525226394,0.5
0.5,0.4936210996275374,0.5
0.5,0.4960799999999999,0.5
0.5,0.4963067954374343,0.5
0.5,0.49509999999999993,0.5
0.5,0.4965484224525063,0.5
0.5,0.49509999999999993,0.5
0.5,0.4954219240869192,0.5
0.5,0.49313999999999986,0.5
0.5,0.49332478337927593,0.5
0.5,0.49705999999999995,0.5
0.5,0.49835264285109226,0.5
0.5,0.4936283893067441,0.5
0.5,0.497989848596374,0.5
0.5,0.497144153007724,0.5
0.5,0.49901999999999996,0.5
0.5,0.49706,0.5
0.5,0.4975706692726617,0.5
0.5,0.49901999999999996,0.5
0.5,0.49446977679339676,0.5
